,T, mu, mu_n, IS_Estimate, IS_Variance, CI, Time
104,2.5,0.12,12,0.02966044,0.0019558,0.0008667828, 0:05:55.911190
105,3.0,0.12,12,0.06889404,0.008210998,0.001776013, 0:05:51.158051
106,3.5,0.12,12,0.1162386,0.01833862,0.002654186, 0:05:43.668932
107,4.0,0.12,12,0.1561392,0.02695765,0.003218023, 0:05:55.162401
108,4.5,0.12,12,0.177472,0.03134852,0.003470217, 0:05:45.177936
109,5.0,0.12,12,0.1777443,0.03418168,0.003623638, 0:05:58.515800
110,0.5,0.13,13,3.30257e-09,6.865024e-17,1.623937e-10, 0:06:01.900134
111,1.0,0.13,13,6.524238e-06,2.143313e-10,2.869399e-07, 0:06:09.651899
112,1.5,0.13,13,0.0003091483,3.854962e-07,1.216909e-05, 0:06:08.570398
113,2.0,0.13,13,0.00320405,3.312221e-05,0.0001127996, 0:06:02.508844
114,2.5,0.13,13,0.0145341,0.0005435455,0.0004569472, 0:06:04.309018
115,3.0,0.13,13,0.03934575,0.003166167,0.001102846, 0:06:06.978684
116,3.5,0.13,13,0.07494613,0.009143806,0.001874181, 0:06:04.534763
117,4.0,0.13,13,0.1109977,0.01619487,0.002494232, 0:06:00.961255
118,4.5,0.13,13,0.1363888,0.02068097,0.0028186, 0:06:02.803841
119,5.0,0.13,13,0.1451667,0.02186942,0.002898456, 0:06:03.388593
120,0.5,0.14,14,3.15257e-11,6.992958e-21,1.638999e-12, 0:06:30.026807
121,1.0,0.14,14,2.395069e-07,3.316044e-13,1.128647e-08, 0:06:31.119267
122,1.5,0.14,14,2.44897e-05,2.859683e-09,1.04811e-06, 0:06:31.863132
123,2.0,0.14,14,0.000431697,7.34687e-07,1.679961e-05, 0:06:34.251343
124,2.5,0.14,14,0.00291806,2.777287e-05,0.00010329, 0:06:27.726156
125,3.0,0.14,14,0.01080317,0.0003147871,0.0003477415, 0:06:31.244664
126,3.5,0.14,14,0.02651165,0.001565692,0.0007755347, 0:06:28.065520
127,4.0,0.14,14,0.04831862,0.004304414,0.001285894, 0:06:24.755033
128,4.5,0.14,14,0.07042596,0.007633664,0.001712437, 0:06:26.106603
129,5.0,0.14,14,0.08637027,0.009815978,0.001941846, 0:06:24.624527
130,0.5,0.15,15,3.15257e-11,6.992958e-21,1.638999e-12, 0:06:28.721858
131,1.0,0.15,15,2.395069e-07,3.316044e-13,1.128647e-08, 0:06:32.830260
132,1.5,0.15,15,2.44897e-05,2.859683e-09,1.04811e-06, 0:06:29.011034
133,2.0,0.15,15,0.000431697,7.34687e-07,1.679961e-05, 0:06:30.017778
134,2.5,0.15,15,0.00291806,2.777287e-05,0.00010329, 0:06:26.954046
135,3.0,0.15,15,0.01080317,0.0003147871,0.0003477415, 0:06:26.219838
136,3.5,0.15,15,0.02651165,0.001565692,0.0007755347, 0:06:28.459128
137,4.0,0.15,15,0.04831862,0.004304414,0.001285894, 0:06:28.287919
138,4.5,0.15,15,0.07042596,0.007633664,0.001712437, 0:06:29.166064
139,5.0,0.15,15,0.08637027,0.009815978,0.001941846, 0:06:23.914814
140,0.5,0.16,16,2.758944e-12,5.616258e-23,1.46883e-13, 0:06:38.983454
141,1.0,0.16,16,4.119708e-08,1.041918e-14,2.000621e-09, 0:06:40.850542
142,1.5,0.16,16,6.198667e-06,1.972042e-10,2.752366e-07, 0:06:43.338180
143,2.0,0.16,16,0.0001427295,8.769734e-08,5.804186e-06, 0:06:42.087617
144,2.5,0.16,16,0.001180902,5.043518e-06,4.401644e-05, 0:06:41.072661
145,3.0,0.16,16,0.00512735,7.981276e-05,0.0001750992, 0:06:37.662847
146,3.5,0.16,16,0.01432115,0.0005223104,0.0004479323, 0:06:37.395443
147,4.0,0.16,16,0.02904282,0.001800123,0.0008315706, 0:06:37.534726
148,4.5,0.16,16,0.04632721,0.003853221,0.001216634, 0:06:34.120672
149,5.0,0.16,16,0.06127762,0.005730371,0.001483677, 0:06:39.114187
150,0.5,0.17,17,2.283175e-13,4.033399e-25,1.244754e-14, 0:06:46.871691
151,1.0,0.17,17,6.700512e-09,2.914099e-16,3.345802e-10, 0:06:44.204324
152,1.5,0.17,17,1.484751e-06,1.206685e-11,6.808399e-08, 0:06:41.761567
153,2.0,0.17,17,4.477141e-05,9.293186e-09,1.889428e-06, 0:06:47.643622
154,2.5,0.17,17,0.0004537819,8.109159e-07,1.764965e-05, 0:06:42.766976
155,3.0,0.17,17,0.0023174,1.799113e-05,8.313374e-05, 0:06:45.467624
156,3.5,0.17,17,0.007391674,0.0001558494,0.0002446812, 0:06:44.349058
157,4.0,0.17,17,0.01674584,0.0006810878,0.0005115047, 0:06:43.982106
158,4.5,0.17,17,0.02930422,0.001781476,0.0008272524, 0:06:44.412719
159,5.0,0.17,17,0.04193327,0.003132519,0.00109697, 0:06:43.453619
160,0.5,0.18,18,1.820997e-14,2.681457e-27,1.014924e-15, 0:06:48.854029
161,1.0,0.18,18,1.049947e-09,7.5627e-18,5.389972e-11, 0:06:49.420008
162,1.5,0.18,18,3.428765e-07,6.882715e-13,1.626028e-08, 0:06:50.765607
163,2.0,0.18,18,1.351488e-05,9.160629e-10,5.932131e-07, 0:06:52.063973
164,2.5,0.18,18,0.0001679664,1.216315e-07,6.835513e-06, 0:06:49.477685
165,3.0,0.18,18,0.001007602,3.766843e-06,3.803968e-05, 0:06:51.148276
166,3.5,0.18,18,0.003670518,4.308665e-05,0.0001286529, 0:06:52.245721
167,4.0,0.18,18,0.009299568,0.0002383827,0.0003026115, 0:06:52.001330
168,4.5,0.18,18,0.01789165,0.0007630372,0.0005414034, 0:06:48.576186
169,5.0,0.18,18,0.02776762,0.001593334,0.0007823508, 0:06:49.000651
170,0.5,0.19,19,1.339151e-15,1.531599e-29,7.670447e-17, 0:06:54.700389
171,1.0,0.19,19,1.518191e-10,1.682272e-19,8.038891e-12, 0:06:53.956648
172,1.5,0.19,19,7.308467e-08,3.349775e-14,3.587202e-09, 0:06:52.714235
173,2.0,0.19,19,3.776027e-06,7.718439e-11,1.721919e-07, 0:06:53.598493
174,2.5,0.19,19,5.765303e-05,1.558753e-08,2.447015e-06, 0:06:54.721093
175,3.0,0.19,19,0.0004081043,6.783957e-07,1.61432e-05, 0:06:55.291193
176,3.5,0.19,19,0.001704455,1.031321e-05,6.294266e-05, 0:06:54.206866
177,4.0,0.19,19,0.00484102,7.249922e-05,0.000166884, 0:06:53.302402
178,4.5,0.19,19,0.01027773,0.0002853369,0.0003310755, 0:06:53.375879
179,5.0,0.19,19,0.01736171,0.000712048,0.0005230013, 0:06:52.649355
180,0.5,0.1,10,2.078572e-06,2.189356e-11,9.17078e-08, 0:05:12.202973
181,1.0,0.1,10,0.0005511543,1.153666e-06,2.105175e-05, 0:05:14.056673
182,1.5,0.1,10,0.008353466,0.0001983104,0.0002760074, 0:05:20.271344
183,2.0,0.1,10,0.03971503,0.003334078,0.001131712, 0:05:18.418291
184,2.5,0.1,10,0.1011523,0.01603513,0.0024819, 0:05:18.199826
185,3.0,0.1,10,0.1753387,0.03633454,0.003736009, 0:05:12.657109
186,3.5,0.1,10,0.2353784,0.05342188,0.004530099, 0:05:20.699848
187,4.0,0.1,10,0.2643994,0.06712204,0.005077859, 0:05:15.092643
188,4.5,0.1,10,0.2607519,0.0875745,0.005800119, 0:05:17.001294
189,5.0,0.1,10,0.2331888,0.1186824,0.006752137, 0:05:09.909610
190,0.5,0.2,20,9.540371e-17,7.992268e-32,5.540936e-18, 0:06:57.067133
191,1.0,0.2,20,2.122029e-11,3.414659e-21,1.145307e-12, 0:06:58.040706
192,1.5,0.2,20,1.502852e-08,1.485265e-15,7.553533e-10, 0:06:58.848217
193,2.0,0.2,20,1.016008e-06,5.909822e-12,4.764697e-08, 0:06:54.971717
194,2.5,0.2,20,1.900037e-05,1.803826e-09,8.324255e-07, 0:06:57.417119
195,3.0,0.2,20,0.0001581571,1.093359e-07,6.480812e-06, 0:06:57.300765
196,3.5,0.2,20,0.0007554585,2.184815e-06,2.897046e-05, 0:06:56.842264
197,4.0,0.2,20,0.002405809,1.94807e-05,8.650683e-05, 0:06:59.437153
198,4.5,0.2,20,0.005626743,9.354158e-05,0.0001895616, 0:06:57.310480
199,5.0,0.2,20,0.01034798,0.0002792206,0.0003275079, 0:06:57.339912
