,n_MC,n,T,mu,mu_n,IS_Estimate,IS_Variance,CI
182,10000,100,1.5,0.1,10,0.008353466,0.0001983104,0.0002760074
183,10000,100,2.0,0.1,10,0.03971503,0.003334078,0.001131712
184,10000,100,2.5,0.1,10,0.1011523,0.01603513,0.0024819
185,10000,100,3.0,0.1,10,0.1753387,0.03633454,0.003736009
186,10000,100,3.5,0.1,10,0.2353784,0.05342188,0.004530099
187,10000,100,4.0,0.1,10,0.2643994,0.06712204,0.005077859
188,10000,100,4.5,0.1,10,0.2607519,0.0875745,0.005800119
189,10000,100,5.0,0.1,10,0.2331888,0.1186824,0.006752137
190,10000,100,0.5,0.2,20,9.540371e-17,7.992268e-32,5.540936e-18
191,10000,100,1.0,0.2,20,2.122029e-11,3.414659e-21,1.145307e-12
192,10000,100,1.5,0.2,20,1.502852e-08,1.485265e-15,7.553533e-10
193,10000,100,2.0,0.2,20,1.016008e-06,5.909822e-12,4.764697e-08
194,10000,100,2.5,0.2,20,1.900037e-05,1.803826e-09,8.324255e-07
195,10000,100,3.0,0.2,20,0.0001581571,1.093359e-07,6.480812e-06
196,10000,100,3.5,0.2,20,0.0007554585,2.184815e-06,2.897046e-05
197,10000,100,4.0,0.2,20,0.002405809,1.94807e-05,8.650683e-05
198,10000,100,4.5,0.2,20,0.005626743,9.354158e-05,0.0001895616
199,10000,100,5.0,0.2,20,0.01034798,0.0002792206,0.0003275079
