n_MC,n,T,mu,mu_n,Estimate,Variance,IS_Estimate,IS_Variance
10000,100,1.5,0.13,13,0.000968,0.000967063,0.0003091483,3.854962e-07
10000,100,2.0,0.13,13,0.01001,0.0099098,0.00320405,3.312221e-05
10000,100,2.5,0.13,13,0.04426,0.04230105,0.0145341,0.0005435455
10000,100,3.0,0.13,13,0.12373,0.1084209,0.03934575,0.003166167
10000,100,3.5,0.13,13,0.249968,0.187484,0.07494613,0.009143806
10000,100,4.0,0.13,13,0.405404,0.2410516,0.1109977,0.01619487
10000,100,4.5,0.13,13,0.56436,0.2458578,0.1363888,0.02068097
10000,100,5.0,0.13,13,0.703174,0.2087203,0.1451667,0.02186942
10000,100,0.5,0.14,14,0.0,0.0,3.15257e-11,6.992958e-21
10000,100,1.0,0.14,14,6e-06,5.999964e-06,2.395069e-07,3.316044e-13
10000,100,1.5,0.14,14,0.000276,0.0002759238,2.44897e-05,2.859683e-09
10000,100,2.0,0.14,14,0.00371,0.003696236,0.000431697,7.34687e-07
10000,100,2.5,0.14,14,0.021866,0.02138788,0.00291806,2.777287e-05
10000,100,3.0,0.14,14,0.071426,0.06632433,0.01080317,0.0003147871
10000,100,3.5,0.14,14,0.163978,0.1370892,0.02651165,0.001565692
10000,100,4.0,0.14,14,0.29528,0.2080897,0.04831862,0.004304414
10000,100,4.5,0.14,14,0.448434,0.2473409,0.07042596,0.007633664
10000,100,5.0,0.14,14,0.597982,0.2403995,0.08637027,0.009815978
10000,100,0.5,0.15,15,0.0,0.0,3.15257e-11,6.992958e-21
10000,100,1.0,0.15,15,2e-06,1.999996e-06,2.395069e-07,3.316044e-13
10000,100,1.5,0.15,15,8.2e-05,8.199328e-05,2.44897e-05,2.859683e-09
10000,100,2.0,0.15,15,0.00127,0.001268387,0.000431697,7.34687e-07
10000,100,2.5,0.15,15,0.01003,0.009929399,0.00291806,2.777287e-05
10000,100,3.0,0.15,15,0.038058,0.03660959,0.01080317,0.0003147871
10000,100,3.5,0.15,15,0.101328,0.09106064,0.02651165,0.001565692
10000,100,4.0,0.15,15,0.204182,0.1624917,0.04831862,0.004304414
10000,100,4.5,0.15,15,0.338394,0.2238835,0.07042596,0.007633664
10000,100,5.0,0.15,15,0.48672,0.2498236,0.08637027,0.009815978
10000,100,0.5,0.16,16,0.0,0.0,2.758944e-12,5.616258e-23
10000,100,1.0,0.16,16,0.0,0.0,4.119708e-08,1.041918e-14
10000,100,1.5,0.16,16,2e-05,1.99996e-05,6.198667e-06,1.972042e-10
10000,100,2.0,0.16,16,0.000432,0.0004318134,0.0001427295,8.769734e-08
10000,100,2.5,0.16,16,0.004204,0.004186326,0.001180902,5.043518e-06
10000,100,3.0,0.16,16,0.019176,0.01880828,0.00512735,7.981276e-05
10000,100,3.5,0.16,16,0.059102,0.05560895,0.01432115,0.0005223104
10000,100,4.0,0.16,16,0.133702,0.1158258,0.02904282,0.001800123
10000,100,4.5,0.16,16,0.243514,0.1842149,0.04632721,0.003853221
10000,100,5.0,0.16,16,0.379592,0.2355019,0.06127762,0.005730371
10000,100,0.5,0.17,17,0.0,0.0,2.283175e-13,4.033399e-25
10000,100,1.0,0.17,17,0.0,0.0,6.700512e-09,2.914099e-16
10000,100,1.5,0.17,17,4e-06,3.999984e-06,1.484751e-06,1.206685e-11
10000,100,2.0,0.17,17,0.000132,0.0001319826,4.477141e-05,9.293186e-09
10000,100,2.5,0.17,17,0.001694,0.00169113,0.0004537819,8.109159e-07
10000,100,3.0,0.17,17,0.009308,0.009221361,0.0023174,1.799113e-05
10000,100,3.5,0.17,17,0.032398,0.03134837,0.007391674,0.0001558494
10000,100,4.0,0.17,17,0.082784,0.07593081,0.01674584,0.0006810878
10000,100,4.5,0.17,17,0.166838,0.1390031,0.02930422,0.001781476
10000,100,5.0,0.17,17,0.28265,0.202759,0.04193327,0.003132519
10000,100,0.5,0.18,18,0.0,0.0,1.820997e-14,2.681457e-27
10000,100,1.0,0.18,18,0.0,0.0,1.049947e-09,7.5627e-18
10000,100,1.5,0.18,18,0.0,0.0,3.428765e-07,6.882715e-13
10000,100,2.0,0.18,18,4e-05,3.99984e-05,1.351488e-05,9.160629e-10
10000,100,2.5,0.18,18,0.000586,0.0005856566,0.0001679664,1.216315e-07
10000,100,3.0,0.18,18,0.004102,0.004085174,0.001007602,3.766843e-06
10000,100,3.5,0.18,18,0.016598,0.01632251,0.003670518,4.308665e-05
10000,100,4.0,0.18,18,0.048378,0.04603757,0.009299568,0.0002383827
10000,100,4.5,0.18,18,0.10801,0.09634384,0.01789165,0.0007630372
10000,100,5.0,0.18,18,0.200984,0.1605894,0.02776762,0.001593334
10000,100,0.5,0.19,19,0.0,0.0,1.339151e-15,1.531599e-29
10000,100,1.0,0.19,19,0.0,0.0,1.518191e-10,1.682272e-19
10000,100,1.5,0.19,19,0.0,0.0,7.308467e-08,3.349775e-14
10000,100,2.0,0.19,19,8e-06,7.999936e-06,3.776027e-06,7.718439e-11
10000,100,2.5,0.19,19,0.000198,0.0001979608,5.765303e-05,1.558753e-08
10000,100,3.0,0.19,19,0.001742,0.001738965,0.0004081043,6.783957e-07
10000,100,3.5,0.19,19,0.008294,0.00822521,0.001704455,1.031321e-05
10000,100,4.0,0.19,19,0.02657,0.02586404,0.00484102,7.249922e-05
10000,100,4.5,0.19,19,0.06703,0.06253698,0.01027773,0.0002853369
10000,100,5.0,0.19,19,0.13618,0.117635,0.01736171,0.000712048
10000,100,0.5,0.1,10,1.4e-05,1.39998e-05,2.078572e-06,2.189356e-11
10000,100,1.0,0.1,10,0.002028,0.002023887,0.0005511543,1.153666e-06
10000,100,1.5,0.1,10,0.024124,0.02354203,0.008353466,0.0001983104
10000,100,2.0,0.1,10,0.102152,0.09171697,0.03971503,0.003334078
10000,100,2.5,0.1,10,0.247108,0.1860456,0.1011523,0.01603513
10000,100,3.0,0.1,10,0.432842,0.2454898,0.1753387,0.03633454
10000,100,3.5,0.1,10,0.614698,0.2368444,0.2353784,0.05342188
10000,100,4.0,0.1,10,0.759778,0.1825154,0.2643994,0.06712204
10000,100,4.5,0.1,10,0.861908,0.1190226,0.2607519,0.0875745
10000,100,5.0,0.1,10,0.925808,0.06868755,0.2331888,0.1186824
10000,100,0.5,0.2,20,0.0,0.0,9.540371e-17,7.992268e-32
10000,100,1.0,0.2,20,0.0,0.0,2.122029e-11,3.414659e-21
10000,100,1.5,0.2,20,0.0,0.0,1.502852e-08,1.485265e-15
10000,100,2.0,0.2,20,2e-06,1.999996e-06,1.016008e-06,5.909822e-12
10000,100,2.5,0.2,20,7.4e-05,7.399452e-05,1.900037e-05,1.803826e-09
10000,100,3.0,0.2,20,0.000696,0.0006955156,0.0001581571,1.093359e-07
10000,100,3.5,0.2,20,0.003822,0.003807392,0.0007554585,2.184815e-06
10000,100,4.0,0.2,20,0.014036,0.01383899,0.002405809,1.94807e-05
10000,100,4.5,0.2,20,0.039378,0.03782737,0.005626743,9.354158e-05
10000,100,5.0,0.2,20,0.088004,0.0802593,0.01034798,0.0002792206
